timestamp,header,id,dlc,data
2023-12-19 12:10:25.464663361,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[201  77   7 208 250  12 153 244]
2023-12-19 12:10:25.464672958,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.471074967,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[  9  78   7 208 250  12 153 244]
2023-12-19 12:10:25.475840690,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.481377638,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[227  79   7 208 250  12 149 244]
2023-12-19 12:10:25.481996937,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.491253832,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[212  64   7 208 250  12 149 244]
2023-12-19 12:10:25.491989819,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.501344358,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[ 83  65   7 208 250  12 149 244]
2023-12-19 12:10:25.507609492,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.511299061,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[159  66   7 208 250  12 149 244]
2023-12-19 12:10:25.512465735,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.521173933,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[ 90  67   7 208 250  12 149 244]
2023-12-19 12:10:25.522107964,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.532130453,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[103  68   7 208 250  12 149 244]
2023-12-19 12:10:25.536227634,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.541224069,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[136  69   7 208 250  12 149 244]
2023-12-19 12:10:25.543516181,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
2023-12-19 12:10:25.560284017,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",163,8,[217  70   7 208 250  12 149 244]
2023-12-19 12:10:25.560377888,"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=0, nanosec=0, __msgtype__='builtin_interfaces/msg/Time'), frame_id='', __msgtype__='std_msgs/msg/Header')",164,8,[  0   0  62 176  80  23  30   0]
